Time T dT flags
1.3427577989E+11 2.8130500E+02 -2.9072000E+01 0.0000000E+00
1.3427621458E+11 2.8124600E+02 -2.9056000E+01 0.0000000E+00
1.3427664928E+11 2.8120000E+02 -2.9056000E+01 0.0000000E+00
1.3427708398E+11 2.8120000E+02 -2.9051000E+01 0.0000000E+00
1.3427751867E+11 2.8107600E+02 -2.9049000E+01 0.0000000E+00
1.3427795336E+11 2.8103100E+02 -2.9034000E+01 0.0000000E+00
1.3427838806E+11 2.8098500E+02 -2.9033000E+01 0.0000000E+00
1.3427882275E+11 2.8087400E+02 -2.9027000E+01 0.0000000E+00
1.3427925745E+11 2.8081500E+02 -2.9016000E+01 0.0000000E+00
1.3427969215E+11 2.8078300E+02 -2.9016000E+01 0.0000000E+00
1.3428012684E+11 2.8069200E+02 -2.9005000E+01 0.0000000E+00
1.3428056154E+11 2.8064600E+02 -2.8999000E+01 0.0000000E+00
1.3428099623E+11 2.8056800E+02 -2.8993000E+01 0.0000000E+00
1.3428143093E+11 2.8049000E+02 -2.8988000E+01 0.0000000E+00
1.3428186562E+11 2.8039900E+02 -2.8982000E+01 0.0000000E+00
1.3428230032E+11 2.8039900E+02 -2.8982000E+01 0.0000000E+00
1.3428273501E+11 2.8030800E+02 -2.8976000E+01 0.0000000E+00
1.3428316971E+11 2.8027600E+02 -2.8965000E+01 0.0000000E+00
1.3428360441E+11 2.8018500E+02 -2.8954000E+01 0.0000000E+00
1.3428403911E+11 2.8010700E+02 -2.8953000E+01 0.0000000E+00
1.3428447380E+11 2.8004900E+02 -2.8948000E+01 0.0000000E+00
1.3428490850E+11 2.7992600E+02 -2.8941000E+01 0.0000000E+00
1.3428534320E+11 2.7984800E+02 -2.8931000E+01 0.0000000E+00
1.3428577789E+11 2.7980300E+02 -2.8925000E+01 0.0000000E+00
1.3428621259E+11 2.7977000E+02 -2.8920000E+01 0.0000000E+00
1.3428664728E+11 2.7968000E+02 -2.8914000E+01 0.0000000E+00
1.3428708198E+11 2.7958900E+02 -2.8913000E+01 0.0000000E+00
1.3428751668E+11 2.7951200E+02 -2.8902000E+01 0.0000000E+00
